TIME_PERIOD,GEO,NOGA,CLASS,LEGAL,INDICATOR,OBS_VALUE,OBS_STATUS
2013,CH,G-S,_T,_T,New businesses,32668,A
2013,CH,G,_T,_T,New businesses,4720,A
2013,CH,H,_T,_T,New businesses,827,A
2013,CH,I,_T,_T,New businesses,951,A
2013,CH,J,_T,_T,New businesses,2103,A
2013,CH,K,_T,_T,New businesses,1525,A
2013,CH,L-N,_T,_T,New businesses,3241,A
2013,CH,M,_T,_T,New businesses,8074,A
2013,CH,P,_T,_T,New businesses,1631,A
2013,CH,Q,_T,_T,New businesses,4127,A
2013,CH,R,_T,_T,New businesses,2236,A
2013,CH,S,_T,_T,New businesses,3233,A
2013,CH,_T,1,_T,New businesses,30984,A
2013,CH,_T,10+,_T,New businesses,142,A
2013,CH,_T,2TO4,_T,New businesses,5554,A
2013,CH,_T,5TO9,_T,New businesses,637,A
2013,CH,_T,_T,1,New businesses,23391,A
2013,CH,_T,_T,2,New businesses,672,A
2013,CH,_T,_T,3,New businesses,4973,A
2013,CH,_T,_T,4,New businesses,7362,A
2013,CH,_T,_T,5,New businesses,,L
2013,CH,_T,_T,6,New businesses,214,A
2013,CH,_T,_T,7,New businesses,631,A
2013,CH,_T,_T,8,New businesses,,L
2014,CH,_T,_T,_T,Jobs created by New businesses,56996,A
2014,CH01,_T,_T,_T,Jobs created by New businesses,10556,A
2014,22,_T,_T,_T,Jobs created by New businesses,4816,A
2014,23,_T,_T,_T,Jobs created by New businesses,2003,A
2014,25,_T,_T,_T,Jobs created by New businesses,3737,A
2014,CH02,_T,_T,_T,Jobs created by New businesses,9563,A
2014,2,_T,_T,_T,Jobs created by New businesses,5095,A
2014,10,_T,_T,_T,Jobs created by New businesses,1657,A
2014,11,_T,_T,_T,Jobs created by New businesses,1381,A
2014,24,_T,_T,_T,Jobs created by New businesses,1094,A
2014,26,_T,_T,_T,Jobs created by New businesses,336,A
2014,CH03,_T,_T,_T,Jobs created by New businesses,7151,A
2014,12,_T,_T,_T,Jobs created by New businesses,1779,A
2014,13,_T,_T,_T,Jobs created by New businesses,1782,A
2014,19,_T,_T,_T,Jobs created by New businesses,3590,A
2014,CH04,_T,_T,_T,Jobs created by New businesses,10944,A
2014,1,_T,_T,_T,Jobs created by New businesses,10944,A
2014,CH05,_T,_T,_T,Jobs created by New businesses,7180,A
2014,8,_T,_T,_T,Jobs created by New businesses,195,A
2014,14,_T,_T,_T,Jobs created by New businesses,527,A
2014,15,_T,_T,_T,Jobs created by New businesses,404,A
2014,16,_T,_T,_T,Jobs created by New businesses,151,A
2014,17,_T,_T,_T,Jobs created by New businesses,2937,A
2014,18,_T,_T,_T,Jobs created by New businesses,1377,A
2014,20,_T,_T,_T,Jobs created by New businesses,1589,A
2014,CH06,_T,_T,_T,Jobs created by New businesses,7014,A
2014,3,_T,_T,_T,Jobs created by New businesses,2584,A
2014,4,_T,_T,_T,Jobs created by New businesses,189,A
2014,5,_T,_T,_T,Jobs created by New businesses,1463,A
2014,6,_T,_T,_T,Jobs created by New businesses,263,A
2014,7,_T,_T,_T,Jobs created by New businesses,256,A
2014,9,_T,_T,_T,Jobs created by New businesses,2259,A
2014,CH07,_T,_T,_T,Jobs created by New businesses,4588,A
2014,21,_T,_T,_T,Jobs created by New businesses,4588,A
2014,CH,B-F,_T,_T,Jobs created by New businesses,8009,A
2014,CH,B-E,_T,_T,Jobs created by New businesses,2643,A
2014,CH,F,_T,_T,Jobs created by New businesses,5366,A
2014,CH,G-S,_T,_T,Jobs created by New businesses,48987,A
2014,CH,G,_T,_T,Jobs created by New businesses,7269,A
2014,CH,H,_T,_T,Jobs created by New businesses,1309,A
2014,CH,I,_T,_T,Jobs created by New businesses,2354,A
2014,CH,J,_T,_T,Jobs created by New businesses,3220,A
2014,CH,K,_T,_T,Jobs created by New businesses,2339,A
2014,CH,L-N,_T,_T,Jobs created by New businesses,6081,A
2014,CH,M,_T,_T,Jobs created by New businesses,10843,A
2014,CH,P,_T,_T,Jobs created by New businesses,2281,A
2014,CH,Q,_T,_T,Jobs created by New businesses,5878,A
2014,CH,R,_T,_T,Jobs created by New businesses,3172,A
2014,CH,S,_T,_T,Jobs created by New businesses,4241,A
2014,CH,_T,1,_T,Jobs created by New businesses,35612,A
2014,CH,_T,10+,_T,Jobs created by New businesses,2570,A
2014,CH,_T,2TO4,_T,Jobs created by New businesses,14716,A
2014,CH,_T,5TO9,_T,Jobs created by New businesses,4098,A
2014,CH,_T,_T,1,Jobs created by New businesses,29050,A
2014,CH,_T,_T,2,Jobs created by New businesses,1243,A
2014,CH,_T,_T,3,Jobs created by New businesses,10508,A
2014,CH,_T,_T,4,Jobs created by New businesses,14309,A
2014,CH,_T,_T,5,Jobs created by New businesses,117,A
2014,CH,_T,_T,6,Jobs created by New businesses,385,A
2014,CH,_T,_T,7,Jobs created by New businesses,1374,A
2014,CH,_T,_T,8,Jobs created by New businesses,10,A
2014,CH,_T,_T,_T,New businesses,42478,A
2014,CH01,_T,_T,_T,New businesses,7609,A
2014,22,_T,_T,_T,New businesses,3546,A
2014,23,_T,_T,_T,New businesses,1440,A
2014,25,_T,_T,_T,New businesses,2623,A
2014,CH02,_T,_T,_T,New businesses,7465,A
2014,2,_T,_T,_T,New businesses,4032,A
2014,10,_T,_T,_T,New businesses,1245,A
2014,11,_T,_T,_T,New businesses,1108,A
2014,24,_T,_T,_T,New businesses,827,A
2014,26,_T,_T,_T,New businesses,253,A
2014,CH03,_T,_T,_T,New businesses,5482,A
2014,12,_T,_T,_T,New businesses,1352,A
2014,13,_T,_T,_T,New businesses,1366,A
2014,19,_T,_T,_T,New businesses,2764,A
2014,CH04,_T,_T,_T,New businesses,8212,A
2014,1,_T,_T,_T,New businesses,8212,A
2014,CH05,_T,_T,_T,New businesses,5533,A
2014,8,_T,_T,_T,New businesses,168,A
2014,14,_T,_T,_T,New businesses,430,A
2014,15,_T,_T,_T,New businesses,318,A
2014,16,_T,_T,_T,New businesses,97,A
2014,17,_T,_T,_T,New businesses,2268,A
2014,18,_T,_T,_T,New businesses,1069,A
2014,20,_T,_T,_T,New businesses,1183,A
2014,CH06,_T,_T,_T,New businesses,5013,A
2014,3,_T,_T,_T,New businesses,1843,A
2014,4,_T,_T,_T,New businesses,120,A
2014,5,_T,_T,_T,New businesses,1065,A
2014,6,_T,_T,_T,New businesses,199,A
2014,7,_T,_T,_T,New businesses,197,A
2014,9,_T,_T,_T,New businesses,1589,A
2014,CH07,_T,_T,_T,New businesses,3164,A
2014,21,_T,_T,_T,New businesses,3164,A
2014,CH,B-F,_T,_T,New businesses,5124,A
2014,CH,B-E,_T,_T,New businesses,2040,A
2014,CH,F,_T,_T,New businesses,3084,A
2014,CH,G-S,_T,_T,New businesses,37354,A
2014,CH,G,_T,_T,New businesses,5434,A
2014,CH,H,_T,_T,New businesses,919,A
2014,CH,I,_T,_T,New businesses,1117,A
2014,CH,J,_T,_T,New businesses,2388,A
2014,CH,K,_T,_T,New businesses,1617,A
2014,CH,L-N,_T,_T,New businesses,3626,A
2014,CH,M,_T,_T,New businesses,8920,A
2014,CH,P,_T,_T,New businesses,2017,A
2014,CH,Q,_T,_T,New businesses,4962,A
2014,CH,R,_T,_T,New businesses,2475,A
2014,CH,S,_T,_T,New businesses,3879,A
2014,CH,_T,1,_T,New businesses,35612,A
2014,CH,_T,10+,_T,New businesses,131,A
2014,CH,_T,2TO4,_T,New businesses,6053,A
2014,CH,_T,5TO9,_T,New businesses,682,A
2014,CH,_T,_T,1,New businesses,27516,A
2014,CH,_T,_T,2,New businesses,759,A
2014,CH,_T,_T,3,New businesses,5082,A
2014,CH,_T,_T,4,New businesses,8140,A
2014,CH,_T,_T,5,New businesses,,L
2014,CH,_T,_T,6,New businesses,203,A
2014,CH,_T,_T,7,New businesses,701,A
2014,CH,_T,_T,8,New businesses,,L
2015,CH,_T,_T,_T,Jobs created by New businesses,54623,A
2015,CH01,_T,_T,_T,Jobs created by New businesses,11427,A
2015,22,_T,_T,_T,Jobs created by New businesses,5202,A
2015,23,_T,_T,_T,Jobs created by New businesses,1934,A
2015,25,_T,_T,_T,Jobs created by New businesses,4291,A
2015,CH02,_T,_T,_T,Jobs created by New businesses,9129,A
